sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na
Enseñanza pública,2017,459165.73813716706,459165.7381371671,NA,1423.355589902857,1423.355589902857,NA,NA
Enseñanza pública,2018,584060.0190227114,584060.0190227116,NA,1442.9451818999141,1442.9451818999141,NA,NA
Enseñanza pública,2019,840709.0788403437,840709.0788403437,NA,1446.681906015419,1446.681906015419,NA,NA
Enseñanza pública,2020,1100798.7781220342,1126289.2035529735,NA,1443.7850849585416,1443.7850849585416,NA,NA
Enseñanza pública,2021,1641039.1242065267,1672256.9991277424,NA,1461.771614217897,1461.771614217897,NA,NA
Enseñanza pública,2022,2983844.3208613107,2983844.3208613116,NA,1496.0248412823937,1496.0248412823937,NA,NA
Enseñanza privada,2016,88284.53827450964,84907.2187956735,4133.15404409568,657.002694967587,511.45219473879627,103.788214346485,41.76228588230576
Enseñanza privada,2017,120609.46274674076,110529.77228885435,5250.538321978127,674.9983204174384,521.7009284908554,110.09827421744083,43.19911770914223
Enseñanza privada,2018,189683.81028431235,141638.76565296785,7046.390876111121,694.1846384654855,532.9526997781479,115.86715064751166,45.36478803982594
Enseñanza privada,2019,276774.4976265089,205107.89621475368,10785.79522709312,698.4345501807954,538.3671489998533,110.74817896121999,49.31922221972226
Enseñanza privada,2020,357227.7310581119,269557.9313032309,11903.631158301889,652.0555851579143,517.6124761783987,91.58699558526195,42.85611339425365
Enseñanza privada,2021,533532.8463729953,396328.70816392853,22826.20663733501,701.2696611483966,522.6218454673397,116.93838742784214,61.70942825321483
Enseñanza privada,2022,959475.9616390499,711807.6330201817,50444.16422858491,736.7400311071967,538.9520317884712,118.69798891999885,79.09001039872666
Servicios sociales y de salud,2016,426668.1476455697,233268.1645764857,31296.47441612804,1232.528742081405,748.9306554082971,255.935162585787,227.66292408732093
Servicios sociales y de salud,2017,563524.7929853887,300586.7800319766,37870.62854530426,1257.0605173951521,765.6380505017692,257.58500376727903,233.83746312610398
Servicios sociales y de salud,2018,732960.0961127767,388668.1311628757,51587.41375055144,1294.1199176330988,780.5717219262707,268.67662783092953,244.87156787589842
Servicios sociales y de salud,2019,1031767.3403159742,550769.0197325059,75139.300075346,1333.2637100747456,787.4934701716994,278.1000467173802,267.670193185666
Servicios sociales y de salud,2020,1242052.9464626242,728991.2669194769,76898.35116963656,1295.9818821017218,796.6019510267794,273.06502604567106,226.31490502927136
Servicios sociales y de salud,2021,2036012.5817628133,1127081.627284682,136151.33231844136,1382.310803534252,812.7117383721686,300.5299719050756,269.0690932570077
