sector,anio,vab,rta,imb,puestos_total,puestos_ar,puestos_anr,puestos_na,ipc_base2016,vab_real,rta_real,imb_real,part_rta,part_imb,part_excedente,productividad,part_ar,part_anr,part_na,grupo_prod,productividad_media
"Electricidad, gas y agua",2020,403321.7778482861,196483.35741821703,3755.9604158003663,127.2780084476626,93.99182131433211,23.17838997146096,10.107797161869511,367.92304089693823,109621.23406706232,53403.38483266001,1020.8549066793773,0.48716277724067353,0.009312565356223367,0.5035246574031031,861.2739577249055,0.7384765244263077,0.18210836462759422,0.0794151109460979,Alta productividad,937.2435377599295
"Electricidad, gas y agua",2021,443908.4384653014,295317.39798274176,4461.395792094494,135.29616536693587,94.82808671632506,30.05369236018272,10.414386290428077,545.7444450585634,81339.98293242654,54112.762971146956,817.4880811871103,0.6652664657687636,0.010050261282526222,0.3246832729487102,601.1994701536802,0.7008926414074073,0.22213262496150052,0.0769747336310921,Alta productividad,937.2435377599295
"Electricidad, gas y agua",2022,681109.6687617816,508935.84546136024,8038.560963606733,137.61473126842924,95.29678780736972,30.36392347447297,11.954019986586534,940.4484760525055,72423.92178896519,54116.29221811256,854.7582529293118,0.7472157110712823,0.011802153650557298,0.24098213527816043,526.2802980568713,0.6924897278728483,0.22064442661480443,0.08686584551234708,Alta productividad,937.2435377599295
Construcción,2016,315406.2492380284,137485.76377448736,68662.12874009025,1605.0272354458702,403.4756986776903,474.96119722437174,726.5903395438081,100,315406.2492380284,137485.76377448736,68662.12874009025,0.4359005698416921,0.21769425591904754,0.3464051742392603,196.51146240544,0.2513824624076278,0.29592095805927515,0.45269657953309694,Baja productividad,190.18249902558148
Construcción,2017,455253.37776089954,192356.10662444055,90906.51347189856,1673.9033159174746,435.12773751452846,488.7010515132247,750.0745268897215,125.54653977089747,362617.2243310447,153214.9806561455,72408.61726479164,0.42252538041676335,0.19968333660479273,0.3777912829784439,216.6297305721582,0.25994795122084624,0.2919529741449644,0.44809907463418935,Baja productividad,190.18249902558148
Construcción,2018,589211.4299786239,251640.81320969935,118718.565259368,1716.3498653056208,447.3767531064063,519.4289582910974,749.544153908117,168.59175694351987,349490.0585062509,149260.4488925291,70417.77570367217,0.42708067156611107,0.2014872068311285,0.3714321216027604,203.62401953754292,0.2606559199553084,0.3026358254752481,0.4367082545694434,Baja productividad,190.18249902558148
Construcción,2019,826911.107648158,351226.72057830344,169474.74010436126,1727.1328634766153,429.08692745680366,532.964197175923,765.0817388438886,259.15986394895566,319073.75434146204,135525.12153173584,65393.89916400834,0.4247454379676161,0.2049491638664394,0.3703053981659445,184.7418696551148,0.248438864508129,0.3085832065653003,0.4429779289265707,Baja productividad,190.18249902558148
Construcción,2020,881328.5579935652,375359.61329996097,195615.5798092092,1469.272378324892,332.7083995057724,446.7631491983764,689.8008296207435,367.92304089693823,239541.55082134175,102021.23041408158,53167.52637517055,0.42590202018927603,0.22195534007719897,0.352142639733525,163.03413468811107,0.22644433014189722,0.30407101895410854,0.4694846509039943,Baja productividad,190.18249902558148
Construcción,2021,1652131.1906808992,626234.0748611703,358678.57322898565,1655.951067992793,368.8124310695483,502.6506504089239,784.4879865143207,545.7444450585634,302729.8226560254,114748.59350954447,65722.80789601004,0.37904621521192755,0.21710053974658158,0.4038532450414908,182.81326574641452,0.22271940167688184,0.3035419706079815,0.47373862771513664,Baja productividad,190.18249902558148
Construcción,2022,3120386.1712995195,1259081.837221397,652964.351294243,1804.0030621468204,428.5946934586219,568.6207512366891,806.787617451509,940.4484760525055,331797.6742752792,133881.00138205788,69431.16692953074,0.40350192831967285,0.2092575455243441,0.3872405261559831,183.9230105742889,0.2375798037441138,0.3151994379433106,0.44722075831257535,Baja productividad,190.18249902558148
"Comercio mayorista, minorista y reparaciones",2016,1104458.8878289445,407159.54257391463,271506.90605930623,3490.1491040480987,1229.3808405759949,666.8209141668452,1593.9473493052587,100,1104458.8878289445,407159.54257391463,271506.90605930623,0.3686507004115615,0.24582798785114804,0.38552131173729043,316.45034492879466,0.3522430715496023,0.1910580019041088,0.4566989265462889,Media productividad,353.96318750670673
"Comercio mayorista, minorista y reparaciones",2017,1467211.2490763797,533614.067242236,359381.98216301063,3560.09000514293,1239.1767000813525,683.1613530458877,1637.75195201569,125.54653977089747,1168659.2491946076,425032.8748335056,286253.9921998852,0.36369273175771377,0.24494222109409547,0.39136504714819076,328.26677064522374,0.34807454257932513,0.19189440493329896,0.460031052487376,Media productividad,353.96318750670673
"Comercio mayorista, minorista y reparaciones",2018,2180003.0539405,679219.2993237162,571634.7855031246,3562.7920479817294,1237.227522118391,702.8173089423295,1622.7472169210084,168.59175694351987,1293066.2171524945,402878.1190952665,339064.4927525304,0.3115680494557025,0.2622174241773913,0.4262145263669062,362.93620276967835,0.34726346793640755,0.19726588009549012,0.4554706519681022,Media productividad,353.96318750670673
"Comercio mayorista, minorista y reparaciones",2019,3137350.5251266733,928417.5919959624,928829.0287036682,3578.2573691021453,1194.202633072402,730.0001944039876,1654.0545416257555,259.15986394895566,1210585.033238252,358241.2715646526,358400.02944538166,0.295924087716809,0.2960552291702139,0.4080206831129771,338.31692591246207,0.3337386079000938,0.2040099744382442,0.462251417661662,Media productividad,353.96318750670673
"Comercio mayorista, minorista y reparaciones",2020,4413046.214259362,1226851.085633028,1238341.6372854512,3284.4410228902448,1164.0177251266991,639.029915085989,1481.3933826775567,367.92304089693823,1199448.1790270738,333453.18157899514,336576.2672178861,0.2780054923668932,0.28060926107778844,0.44138524655531836,365.19096268368446,0.3544036007997446,0.19456276140518275,0.45103363779507266,Media productividad,353.96318750670673
"Comercio mayorista, minorista y reparaciones",2021,7643341.092782637,1894429.695988996,2189666.678189568,3649.2581083520786,1170.7511947412895,760.4268553463584,1718.0800582644306,545.7444450585634,1400534.8404347817,347127.6186394726,401225.646548651,0.24785361178998613,0.2864803037845846,0.4656660844254293,383.7861830681062,0.32081896099971235,0.20837847934240797,0.47080255965787965,Media productividad,353.96318750670673
"Comercio mayorista, minorista y reparaciones",2022,13951500.026412012,3447785.3858646424,3646694.178309775,3875.4284989859584,1230.7978085886425,866.2921347587898,1778.338555638526,940.4484760525055,1483494.3520747537,366610.7685491269,387761.18747266475,0.24712650104558895,0.2613836627893851,0.49148983616502595,382.7949225389976,0.3175901216886577,0.22353454204753437,0.4588753362638079,Media productividad,353.96318750670673
Hoteles y restaurantes,2016,169005.71540974133,65239.3608260098,55685.4200256307,651.2697397107203,295.61300512309793,191.835006514918,163.8217280727043,100,169005.71540974133,65239.3608260098,55685.420025630694,0.3860186661015694,0.3294883838136816,0.28449295008474895,259.50187012344526,0.45390256463382245,0.2945553813080996,0.2515420540580779,Baja productividad,231.076811494461
Hoteles y restaurantes,2017,231006.02687418723,85007.705588666,78718.531297631707,672.665020333241,296.14739065008774,201.60450686187036,174.91312282128305,125.54653977089747,184000.31358549316,67710.11430804193,62700.67772579041,0.36798912452168936,0.3407639721040879,0.2912469033742228,273.5392922532803,0.4402598346846921,0.29971010944198445,0.2600300558733236,Baja productividad,231.076811494461
Hoteles y restaurantes,2018,296995.8265975528,105711.09773476407,102209.06886915903,684.6423751118083,293.0920317610066,215.47610681005767,176.07423654074407,168.59175694351987,176162.7211092235,62702.41182086885,60625.187566792025,0.35593462354610444,0.3441431148716391,0.2999222615822564,257.30619008274874,0.4280950791471854,0.3147279727972848,0.2571769480555298,Baja productividad,231.076811494461
Hoteles y restaurantes,2019,422627.6907720488,140163.93740736318,140756.40562247104,677.4740105368728,283.65782126265253,211.73116215142065,182.08502712279957,259.15986394895566,163076.0582801085,54083.96781492754,54312.57891468663,0.3316487311830282,0.3330505991345236,0.3353006696824482,240.71190295680393,0.418699192664032,0.3125303094411424,0.2687704978948255,Baja productividad,231.076811494461
Hoteles y restaurantes,2020,312749.7058546358,141777.06570462094,126246.12252127388,548.7890923731276,253.43640361129096,153.22081134197634,142.1318774198603,367.92304089693823,85004.10985194116,38534.43517943069,34313.18740286169,0.4533243774512712,0.4036650399919235,0.14301058255680532,154.89394930274227,0.46181020565725245,0.2791979896674037,0.2589918046753439,Baja productividad,231.076811494461
Hoteles y restaurantes,2021,586228.6639781662,217754.60666978295,189106.7919608305,563.6479458659793,230.36793869773527,188.2222234728899,145.05778369535415,545.7444450585634,107418.16417668868,39900.47148284136,34651.16203620499,0.37144994786180074,0.322581960898237,0.30596809123996227,190.57669767899748,0.40870891198548026,0.33393579246298577,0.257355295551534,Baja productividad,231.076811494461
Hoteles y restaurantes,2022,1549202.3421297544,474672.33055830456,389732.06151724095,683.505603025063,276.42469960111885,241.47435583836443,165.6065475855797,940.4484760525055,164730.1666788242,50472.97567546948,41441.08597561086,0.3063978911274768,0.25156950187763055,0.4420326069948927,241.00777806320897,0.40442199504688303,0.3532880414873643,0.24228996346575257,Baja productividad,231.076811494461
