sector,anio,vbp_macro
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2021,334262.24624788295
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2022,524613.5885809212
Fabricación de papel y de productos de papel,2016,97471.33310086202
Fabricación de papel y de productos de papel,2017,116124.61316206316
Fabricación de papel y de productos de papel,2018,147084.88766565203
Fabricación de papel y de productos de papel,2019,240194.0388925973
Fabricación de papel y de productos de papel,2020,362810.7172458066
Fabricación de papel y de productos de papel,2021,559902.9040550343
Fabricación de papel y de productos de papel,2022,1048963.1685668323
Edición e impresión; reproducción de grabaciones,2016,84476.84560072086
Edición e impresión; reproducción de grabaciones,2017,111877.26840154215
Edición e impresión; reproducción de grabaciones,2018,154382.0285169381
Edición e impresión; reproducción de grabaciones,2019,229912.6955326288
Edición e impresión; reproducción de grabaciones,2020,313971.5619023511
Edición e impresión; reproducción de grabaciones,2021,488227.91939462576
Edición e impresión; reproducción de grabaciones,2022,852022.1064377913
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear",2016,259353.53396480417
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear",2017,317257.9178743783
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear",2018,522726.6038814782
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear",2019,817016.1096295932
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear",2020,867381.2600803232
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear",2021,1645979.337675837
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear",2022,3288140.9697137005
Fabricación de sustancias y productos químicos,2016,431713.93044597085
Fabricación de sustancias y productos químicos,2017,527991.3558325961
Fabricación de sustancias y productos químicos,2018,735706.3221104983
Fabricación de sustancias y productos químicos,2019,1119817.638111569
Fabricación de sustancias y productos químicos,2020,1631797.6220450434
Fabricación de sustancias y productos químicos,2021,2816821.9915285385
Fabricación de sustancias y productos químicos,2022,5453899.4172636755
Fabricación de productos de caucho y plástico,2016,154290.49150474547
Fabricación de productos de caucho y plástico,2017,180978.96749062443
Fabricación de productos de caucho y plástico,2018,248609.48436062204
Fabricación de productos de caucho y plástico,2019,391255.40280586004
Fabricación de productos de caucho y plástico,2020,542607.2754009522
Fabricación de productos de caucho y plástico,2021,1095187.2589250733
Fabricación de productos de caucho y plástico,2022,1891261.4849821967
Fabricación de productos minerales no metálicos,2016,100290.31910620986
Fabricación de productos minerales no metálicos,2017,133450.07806419305
Fabricación de productos minerales no metálicos,2018,201028.576513064
Fabricación de productos minerales no metálicos,2019,306517.61559367273
Fabricación de productos minerales no metálicos,2020,409108.16962077055
Fabricación de productos minerales no metálicos,2021,789558.6292393194
Fabricación de productos minerales no metálicos,2022,1437893.8728813692
Fabricación de metales comunes,2016,152160.92969657521
Fabricación de metales comunes,2017,210996.61681948978
Fabricación de metales comunes,2018,363568.98534044024
Fabricación de metales comunes,2019,548214.6774563957
Fabricación de metales comunes,2020,607695.2393557571
Fabricación de metales comunes,2021,1417783.492567111
Fabricación de metales comunes,2022,2470663.1670951457
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2016,104358.67273770484
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2017,130976.00718392369
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2018,218665.876938341
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2019,324131.34794772224
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2020,408250.49809518707
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2021,801534.6047204881
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2022,1389783.489606025
Fabricación de maquinaria y equipo n.c.p.,2016,179727.14862979102
Fabricación de maquinaria y equipo n.c.p.,2017,242148.9464988385
Fabricación de maquinaria y equipo n.c.p.,2018,244002.75129449856
Fabricación de maquinaria y equipo n.c.p.,2019,335973.8166826184
